"Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","GENENAME"
"4ebp",-0.327479961678112,4.68480854346376,-4.66511474070414,9.18387569643873e-05,0.00121193400585586,-0.211085754906545,"100194634","eukaryotic translation initiation factor 4E binding protein 3-1"
"4ebp",-0.327479961678112,4.68480854346376,-4.66511474070414,9.18387569643873e-05,0.00121193400585586,-0.211085754906545,"100194635","eukaryotic translation initiation factor 4E binding protein 3-2"
"4ebp",-0.327479961678112,4.68480854346376,-4.66511474070414,9.18387569643873e-05,0.00121193400585586,-0.211085754906545,"100196411","Eukaryotic translation initiation factor 4E-1A-binding protein"
"4f2",-0.182358427807841,4.75878632668219,-3.24468467579225,0.00337238138726726,0.023262068294006,-3.70978851391499,"100195278","4F2 cell-surface antigen heavy chain"
"abcb10",-0.268251739337919,3.7817800165065,-3.25621361710652,0.00327845190072903,0.0227852051542867,-3.51163617669167,"106589657","ATP binding cassette subfamily B member 10"
"abcf2",0.289940654929426,8.01956649591507,7.91067231679869,3.20969968416507e-08,1.06737718339098e-06,7.48779431156705,"100194782","ATP-binding cassette, sub-family F (GCN20), member 2"
"abcg2",1.05490644729117,1.7742120204309,6.73917328958806,4.98947880985115e-07,1.27492836365593e-05,5.90540484205796,"100380370","ATP binding cassette subfamily G member 2 (Junior blood group)"
"abi3bp",-0.558665278779302,0.78410437266918,-3.15253066981563,0.00422240867450696,0.027703911701978,-2.99353120144889,"106586705","ABI family member 3 binding protein"
"abtb1",-0.330733132573796,3.57487503004539,-4.46043737003045,0.00015555359852858,0.00189739354622197,-0.5286989211225,"106566666","ankyrin repeat and BTB domain containing 1"
"acsl4",0.573651545642259,6.50540892493138,10.6069390266071,1.14707782365244e-10,6.23726034506505e-09,13.4758247652378,"100380405","Long-chain-fatty-acid--CoA ligase 4"
"actr8",0.277292704099806,4.20424030833113,3.60646581171813,0.0013739513498083,0.0114618090951,-2.68495743840798,"100195129","ARP8 actin related protein 8 homolog"
"acvr1",0.269188475395012,5.65406013713108,5.68158535526367,6.82940683515577e-06,0.00012819644725861,2.2948755935166,"106581817","activin A receptor type 1"
"acvr1",0.269188475395012,5.65406013713108,5.68158535526367,6.82940683515577e-06,0.00012819644725861,2.2948755935166,"100196610","Activin receptor type-1"
"acy1",0.404596488952664,4.78903871086445,7.01996156748103,2.54414475789298e-07,6.9468125489503e-06,5.82976255144563,"100194932","aminoacylase 1"
"adam9",0.156463814549643,6.93741564571403,3.6758251867954,0.00115397293118117,0.00997436739859793,-2.99883601233277,"106587024","ADAM metallopeptidase domain 9"
"adamts5",0.479541298114961,3.22942028526015,5.06340693775999,3.29833221212307e-05,0.000501931171702274,1.109648712648,"106575116","ADAM metallopeptidase with thrombospondin type 1 motif 5"
"adar",0.990546201644059,6.44031602389404,16.0523854058647,1.5058880596903e-14,1.61816379529714e-12,22.7087112791267,"106605901","adenosine deaminase, RNA specific"
"adcy5",-0.734847175764438,1.5370846053881,-4.31413235538062,0.000226623654533013,0.00260156049927578,-0.437026832276402,"106582348","adenylate cyclase 5"
