"Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","GENENAME"
"4ebp",-0.81307885593678,4.68480854346376,-11.045990978132,4.99361036694053e-11,2.04880699626474e-09,14.8859799836764,"100194635","eukaryotic translation initiation factor 4E binding protein 3-2"
"4ebp",-0.81307885593678,4.68480854346376,-11.045990978132,4.99361036694053e-11,2.04880699626474e-09,14.8859799836764,"100196411","Eukaryotic translation initiation factor 4E-1A-binding protein"
"4ebp",-0.81307885593678,4.68480854346376,-11.045990978132,4.99361036694053e-11,2.04880699626474e-09,14.8859799836764,"100194634","eukaryotic translation initiation factor 4E binding protein 3-1"
"4f2",-0.171962942101077,4.75878632668219,-3.09066713922418,0.00490497879800629,0.0180037283823184,-3.69828252148376,"100195278","4F2 cell-surface antigen heavy chain"
"a1cf",1.38383899466868,-2.24694753026935,2.55396865893441,0.0172344995253917,0.0499607550932441,-3.09344483985737,"106589396","APOBEC1 complementation factor"
"a9a1b",-0.888602920231901,-1.19705810544162,-2.85739521075411,0.00855691596463199,0.0284468156534414,-2.78013002543529,"100286668","Aldehyde dehydrogenase family 9 member A1-B"
"aasdh",-0.686582701101405,0.988993873276192,-5.03156588246421,3.57909365377943e-05,0.000284597852278379,1.97405885107689,"106584128","aminoadipate-semialdehyde dehydrogenase"
"abcb7",0.187888598907175,3.96240617575245,2.71824840028269,0.0118397513535839,0.0370338044319231,-4.41453507500739,"106604076","ATP binding cassette subfamily B member 7"
"abcc2",-0.216901475033551,4.33394870352627,-3.05897366598681,0.0052945141491987,0.0191706923783937,-3.76764258983046,"106576843","ATP binding cassette subfamily C member 2"
"abcd4",0.20428297161295,4.04304499869835,2.75345404671581,0.0109119545051608,0.0346916037764961,-4.29285197599331,"106608305","ATP binding cassette subfamily D member 4"
"abcf1",0.232554891622833,5.42893789963311,4.39823290189396,0.000182554083819738,0.0011456592403721,-0.614123959242755,"100380326","ATP-binding cassette, sub-family F (GCN20), member 1"
"abcf2",0.697175656631793,8.01956649591507,19.5605620381946,1.63252786172718e-16,2.88127487193771e-14,27.4894719539388,"100194782","ATP-binding cassette, sub-family F (GCN20), member 2"
"abl2",0.268151421172229,2.76814609554242,2.62603411783816,0.01463368394453,0.0438679692037791,-4.23451292867859,"106613905","ABL proto-oncogene 2, non-receptor tyrosine kinase"
