"SYMBOL","ENTREZID","GENENAME"
"cmpk2","100136513","cytidine/uridine monophosphate kinase 2"
"ddx58","100302577","DExD/H-box helicase 58"
"dhx58","100195148","DEXH (Asp-Glu-X-His) box polypeptide 58"
"eif2ak2","100196303","eukaryotic translation initiation factor 2 alpha kinase 2"
"epsti1","106586518","epithelial stromal interaction 1"
"ftcd","100306782","formimidoyltransferase cyclodeaminase"
"helz2","100380724","helicase with zinc finger 2"
"irf-3","100337625","interferon regulatory factor 3"
"LOC100136541","100136541","ISG15-like protein"
"LOC100136587","100136587","Mx3 protein"
"LOC100194553","100194553","VHSV-induced protein-like"
"LOC100194720","100194720","uncharacterized LOC100194720"
"LOC100194722","100194722","uncharacterized LOC100194722"
"LOC100196683","100196683","uncharacterized LOC100196683"
"LOC106560422","106560422","uncharacterized LOC106560422"
"LOC106560850","106560850","protein NLRC5-like"
"LOC106561065","106561065","tripartite motif-containing protein 16-like"
"LOC106561186","106561186","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106561321","106561321","uncharacterized LOC106561321"
"LOC106561470","106561470","tripartite motif-containing protein 16-like"
"LOC106561472","106561472","tripartite motif-containing protein 16-like"
"LOC106561504","106561504","tripartite motif-containing protein 47-like"
"LOC106561577","106561577","tripartite motif-containing protein 16-like"
"LOC106562284","106562284","interferon regulatory factor 8-like"
"LOC106563178","106563178","poly [ADP-ribose] polymerase 14-like"
"LOC106563179","106563179","poly [ADP-ribose] polymerase 14-like"
"LOC106563331","106563331","poly [ADP-ribose] polymerase 14-like"
"LOC106563354","106563354","histamine H2 receptor-like"
"LOC106563546","106563546","mitochondrial glutamate carrier 1-like"
"LOC106564247","106564247","uncharacterized LOC106564247"
"LOC106564387","106564387","uncharacterized LOC106564387"
"LOC106564659","106564659","tripartite motif-containing protein 65-like"
"LOC106564862","106564862","uncharacterized LOC106564862"
"LOC106564892","106564892","uncharacterized LOC106564892"
"LOC106565475","106565475","uncharacterized LOC106565475"
"LOC106565525","106565525","uncharacterized LOC106565525"
"LOC106565851","106565851","nicotinamide phosphoribosyltransferase-like"
"LOC106565855","106565855","C-C motif chemokine 19-like"
"LOC106566099","106566099","radical S-adenosyl methionine domain-containing protein 2-like"
"LOC106566745","106566745","interferon regulatory factor 4-like"
"LOC106566856","106566856","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like"
"LOC106568789","106568789","tripartite motif-containing protein 29-like"
"LOC106568952","106568952","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106568955","106568955","serine/threonine-protein kinase prpf4B-like"
"LOC106568982","106568982","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106570029","106570029","cyclic GMP-AMP synthase-like"
"LOC106570620","106570620","receptor-transporting protein 3-like"
"LOC106570878","106570878","C-X-C motif chemokine 11-like"
"LOC106570889","106570889","C-X-C motif chemokine 11-like"
"LOC106570943","106570943","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106571070","106571070","zinc finger protein RFP-like"
"LOC106571164","106571164","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106571435","106571435","uncharacterized LOC106571435"
"LOC106571437","106571437","uncharacterized LOC106571437"
"LOC106572184","106572184","zinc finger protein RFP-like"
"LOC106573364","106573364","polyadenylate-binding protein 1-A-like"
"LOC106573483","106573483","uncharacterized LOC106573483"
"LOC106573916","106573916","interferon-induced protein 44-like"
"LOC106574173","106574173","receptor-transporting protein 2-like"
"LOC106574347","106574347","tripartite motif-containing protein 47-like"
"LOC106574348","106574348","E3 ubiquitin/ISG15 ligase TRIM25-like"
