"SYMBOL","ENTREZID","GENENAME"
"apol3","100195146","Apolipoprotein-L3"
"cd9","100136380","CD9 molecule"
"cf113","100380430","Zinc finger protein C6orf113 homolog"
"cxl10","100195999","C-X-C motif chemokine 10"
"i20ra","100196051","Interleukin-20 receptor alpha chain"
"ifih1","106581804","interferon induced with helicase C domain 1"
"irf-1","100136548","interferon regulatory factor 1"
"irf1-2","100846970","interferon regulatory factor 1 isoform 2"
"irf7","100192336","interferon regulatory factor 7"
"irf7b","100329194","interferon regulatory factor 7B"
"lmo2","100194984","LIM domain only 2"
"LOC100136421","100136421","opioid growth factor receptor-like protein 1"
"LOC100380646","100380646","cat eye syndrome critical region protein 5 homolog"
"LOC100380659","100380659","E3 ubiquitin-protein ligase RNF213"
"LOC100380855","100380855","nicotinamide phosphoribosyltransferase"
"LOC106561182","106561182","uncharacterized LOC106561182"
"LOC106561285","106561285","tripartite motif-containing protein 16-like"
"LOC106561394","106561394","poly [ADP-ribose] polymerase 12-like"
"LOC106561473","106561473","tripartite motif-containing protein 47-like"
"LOC106561500","106561500","tripartite motif-containing protein 16-like"
"LOC106561501","106561501","tripartite motif-containing protein 16-like"
"LOC106561502","106561502","tripartite motif-containing protein 16-like"
"LOC106561505","106561505","uncharacterized LOC106561505"
"LOC106561508","106561508","uncharacterized LOC106561508"
"LOC106561510","106561510","laminin subunit beta-4-like"
"LOC106561571","106561571","tripartite motif-containing protein 47-like"
"LOC106562560","106562560","serine/threonine-protein kinase/endoribonuclease IRE1a-like"
"LOC106563358","106563358","C-C motif chemokine 19-like"
"LOC106563597","106563597","uncharacterized LOC106563597"
"LOC106563598","106563598","uncharacterized LOC106563598"
"LOC106564388","106564388","uncharacterized LOC106564388"
"LOC106564389","106564389","uncharacterized LOC106564389"
"LOC106564720","106564720","C-X-C motif chemokine 11-like"
"LOC106564935","106564935","uncharacterized LOC106564935"
"LOC106564937","106564937","uncharacterized LOC106564937"
"LOC106564994","106564994","uncharacterized LOC106564994"
"LOC106565666","106565666","tripartite motif-containing protein 16-like protein"
"LOC106568039","106568039","sacsin-like"
"LOC106568750","106568750","tripartite motif-containing protein 7-like"
"LOC106568938","106568938","solute carrier family 25 member 36-A"
"LOC106569224","106569224","poly(ADP-ribose) glycohydrolase-like"
"LOC106569852","106569852","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106570357","106570357","uncharacterized LOC106570357"
"LOC106570931","106570931","uncharacterized LOC106570931"
"LOC106571899","106571899","protein Wnt-7a-like"
"LOC106572183","106572183","potassium voltage-gated channel subfamily KQT member 2-like"
"LOC106572249","106572249","sorting nexin-19-like"
"LOC106572465","106572465","DNA (cytosine-5)-methyltransferase 3A-like"
"LOC106573072","106573072","shaker-related potassium channel tsha2-like"
"LOC106573920","106573920","interferon-induced protein 44-like"
"LOC106573921","106573921","uncharacterized LOC106573921"
"LOC106574482","106574482","interferon-induced protein 44-like"
"LOC106574975","106574975","OX-2 membrane glycoprotein-like"
"LOC106575328","106575328","autophagy-related protein 9A-like"
"LOC106575700","106575700","uncharacterized LOC106575700"
"LOC106575701","106575701","uncharacterized LOC106575701"
"LOC106575703","106575703","uncharacterized LOC106575703"
"LOC106575706","106575706","uncharacterized LOC106575706"
"LOC106575849","106575849","OX-2 membrane glycoprotein-like"
"LOC106576193","106576193","protein kinase C theta type-like"
"LOC106576220","106576220","E3 ubiquitin-protein ligase TRIM39-like"
"LOC106576335","106576335","poly [ADP-ribose] polymerase 12-like"
"LOC106576451","106576451","uncharacterized LOC106576451"
"LOC106577090","106577090","interferon-induced protein with tetratricopeptide repeats 1-like"
"LOC106577092","106577092","interferon-induced protein with tetratricopeptide repeats 1-like"
"LOC106577321","106577321","paired box protein Pax-2-B-like"
"LOC106577768","106577768","TYRO protein tyrosine kinase-binding protein-like"
"LOC106577770","106577770","up-regulator of cell proliferation-like"
"LOC106577782","106577782","uncharacterized LOC106577782"
"LOC106577783","106577783","putative E3 ubiquitin-protein ligase ARI6"
"LOC106577944","106577944","uncharacterized LOC106577944"
"LOC106578006","106578006","uncharacterized LOC106578006"
"LOC106578007","106578007","uncharacterized LOC106578007"
"LOC106578009","106578009","urokinase plasminogen activator surface receptor-like"
"LOC106578012","106578012","urokinase plasminogen activator surface receptor-like"
"LOC106578083","106578083","basic leucine zipper transcriptional factor ATF-like 2"
"LOC106578113","106578113","circularly permutated Ras protein 1-like"
"LOC106578389","106578389","contactin-associated protein-like 2"
"LOC106578963","106578963","interferon-induced protein with tetratricopeptide repeats 5-like"
"LOC106581890","106581890","major histocompatibility complex class I-related gene protein-like"
"LOC106581934","106581934","protein FAM171B-like"
"LOC106581954","106581954","UDP-glucuronosyltransferase-like"
"LOC106583304","106583304","RNA-binding motif, single-stranded-interacting protein 2-like"
"LOC106583430","106583430","interferon-induced protein 44-like"
"LOC106583598","106583598","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106583651","106583651","helicase with zinc finger domain 2-like"
"LOC106583652","106583652","stathmin-3-like"
"LOC106583755","106583755","uncharacterized LOC106583755"
"LOC106584563","106584563","prosaposin receptor GPR37-like"
"LOC106584639","106584639","tripartite motif-containing protein 47-like"
"LOC106584666","106584666","tripartite motif-containing protein 16-like protein"
"LOC106584676","106584676","tripartite motif-containing protein 16-like"
"LOC106584677","106584677","E3 ubiquitin/ISG15 ligase TRIM25-like"
"LOC106584679","106584679","uncharacterized LOC106584679"
"LOC106585878","106585878","C-C motif chemokine 19-like"
"LOC106586168","106586168","nuclear receptor subfamily 4 group A member 2-like"
"LOC106586715","106586715","uncharacterized LOC106586715"
"LOC106586811","106586811","FERM and PDZ domain-containing protein 4-like"
"LOC106586857","106586857","interleukin-10 receptor subunit beta-like"
"LOC106588197","106588197","eomesodermin-like"
"LOC106588647","106588647","cytosolic purine 5'-nucleotidase-like"
"LOC106588656","106588656","alpha-internexin-like"
"LOC106588713","106588713","ADP-ribosylation factor-like protein 4A"
"LOC106588757","106588757","E3 ubiquitin-protein ligase ZNRF2-like"
"LOC106589450","106589450","poly [ADP-ribose] polymerase 9-like"
"LOC106589506","106589506","serine/threonine-protein kinase SBK1-like"
"LOC106590411","106590411","interferon regulatory factor 8-like"
"LOC106590895","106590895","TCDD-inducible poly [ADP-ribose] polymerase-like"
"LOC106591064","106591064","serine/threonine-protein kinase ppk4-like"
"LOC106591171","106591171","apoptosis regulator BAX-like"
"LOC106591387","106591387","uncharacterized LOC106591387"
"LOC106592392","106592392","uncharacterized LOC106592392"
"LOC106592430","106592430","GTPase IMAP family member 4-like"
"LOC106592461","106592461","choline transporter-like protein 1"
"LOC106593068","106593068","protein asteroid homolog 1-like"
"LOC106593218","106593218","suppressor of cytokine signaling 1-like"
"LOC106593357","106593357","uncharacterized LOC106593357"
"LOC106593784","106593784","protein asteroid homolog 1-like"
"LOC106594285","106594285","uncharacterized LOC106594285"
"LOC106595561","106595561","paired box protein Pax-2a-like"
"LOC106596088","106596088","suppressor of cytokine signaling 1-like"
"LOC106596965","106596965","BTB/POZ domain-containing protein 7-like"
"LOC106597047","106597047","uncharacterized LOC106597047"
"LOC106597072","106597072","uncharacterized LOC106597072"
"LOC106597258","106597258","E3 ubiquitin-protein ligase RNF213-like"
"LOC106598458","106598458","probable E3 ubiquitin-protein ligase HERC4"
"LOC106598791","106598791","homeobox protein SIX6"
"LOC106598999","106598999","uncharacterized LOC106598999"
"LOC106599427","106599427","suppressor of cytokine signaling 1-like"
"LOC106600405","106600405","phosphatidylinositol 3-kinase regulatory subunit gamma-like"
"LOC106600605","106600605","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2-like"
"LOC106600992","106600992","uncharacterized LOC106600992"
"LOC106601561","106601561","uncharacterized LOC106601561"
"LOC106601828","106601828","extracellular serine/threonine protein kinase FAM20C-like"
