"SYMBOL","ENTREZID","GENENAME"
"bmp1","100380312","Bone morphogenetic protein 1"
"cdd","100286653","Cytidine deaminase"
"cxb6","100195251","Gap junction beta-6 protein"
"exoc3l2","106580888","exocyst complex component 3 like 2"
"fosb","106612490","FosB proto-oncogene, AP-1 transcription factor subunit"
"lima1","100196244","LIM domain and actin binding 1"
"LOC106562150","106562150","protein FAM189A1-like"
"LOC106563590","106563590","apolipoprotein O-like"
"LOC106564300","106564300","uncharacterized LOC106564300"
"LOC106564453","106564453","beta-1,3-galactosyltransferase 2-like"
"LOC106566016","106566016","immunoglobulin-like and fibronectin type III domain-containing protein 1"
"LOC106571682","106571682","isthmin-2-like"
"LOC106572482","106572482","solute carrier family 52, riboflavin transporter, member 3-A-like"
"LOC106573763","106573763","uncharacterized LOC106573763"
"LOC106574058","106574058","uncharacterized LOC106574058"
"LOC106574366","106574366","39S ribosomal protein L39, mitochondrial-like"
"LOC106578540","106578540","cAMP-responsive element modulator-like"
"LOC106579855","106579855","early growth response protein 3-like"
"LOC106580855","106580855","SPARC-related modular calcium-binding protein 1-like"
"LOC106582900","106582900","rho GTPase-activating protein 39-like"
"LOC106584495","106584495","protein Wnt-7b"
"LOC106584738","106584738","protogenin B-like"
"LOC106586623","106586623","immunoglobulin superfamily member 3-like"
"LOC106590082","106590082","inhibin beta A chain-like"
"LOC106590237","106590237","uncharacterized LOC106590237"
"LOC106590395","106590395","uncharacterized LOC106590395"
"LOC106595773","106595773","brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2"
"LOC106596334","106596334","interferon a3-like"
"LOC106599523","106599523","paired box protein Pax-3-like"
"LOC106600145","106600145","ephrin type-A receptor 4-like"
"LOC106600500","106600500","uncharacterized LOC106600500"
"LOC106600897","106600897","cytokine receptor common subunit beta-like"
"LOC106602670","106602670","uncharacterized LOC106602670"
"LOC106603696","106603696","exocyst complex component 3-like"
"LOC106605732","106605732","pleckstrin homology domain-containing family G member 6-like"
"LOC106608314","106608314","basic leucine zipper transcriptional factor ATF-like"
"LOC106608501","106608501","NACHT and WD repeat domain-containing protein 2-like"
"LOC106608522","106608522","NACHT and WD repeat domain-containing protein 2-like"
"LOC106608813","106608813","endonuclease domain-containing 1 protein-like"
"LOC106612344","106612344","autophagy-related protein 16-1-like"
"LOC106613747","106613747","follistatin-related protein 3-like"
"p2ry11","100196022","purinergic receptor P2Y, G-protein coupled, 11"
"tnfsf11","106586517","TNF superfamily member 11"
