NEGcontrolR1,NEGcontrolR1_1.fastq.gz,NEGcontrolR1_2.fastq.gz
NEGcontrolR2,NEGcontrolR2_1.fastq.gz,NEGcontrolR2_2.fastq.gz
NEGcontrolR3,NEGcontrolR3_1.fastq.gz,NEGcontrolR3_2.fastq.gz
POMV6HPIR1,POMV6HPIR1_1.fastq.gz,POMV6HPIR1_2.fastq.gz
POMV6HPIR2,POMV6HPIR2_1.fastq.gz,POMV6HPIR2_2.fastq.gz
POMV6HPIR3,POMV6HPIR3_1.fastq.gz,POMV6HPIR3_2.fastq.gz
ISAV6HPIR1,ISAV6HPIR1_1.fastq.gz,ISAV6HPIR1_2.fastq.gz
ISAV6HPIR2,ISAV6HPIR2_1.fastq.gz,ISAV6HPIR2_2.fastq.gz
ISAV6HPIR3,ISAV6HPIR3_1.fastq.gz,ISAV6HPIR3_2.fastq.gz
POMV24HPIR1,POMV24HPIR1_1.fastq.gz,POMV24HPIR1_2.fastq.gz
POMV24HPIR2,POMV24HPIR2_1.fastq.gz,POMV24HPIR2_2.fastq.gz
POMV24HPIR3,POMV24HPIR3_1.fastq.gz,POMV24HPIR3_2.fastq.gz
ISAV24HPIR1,ISAV24HPIR1_1.fastq.gz,ISAV24HPIR1_2.fastq.gz
ISAV24HPIR2,ISAV24HPIR2_1.fastq.gz,ISAV24HPIR2_2.fastq.gz
ISAV24HPIR3,ISAV24HPIR3_1.fastq.gz,ISAV24HPIR3_2.fastq.gz
